tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
120.230,13.7214,-6.2370,0.0000,-260.5639,30.4041
120.280,13.7214,0.0000,0.0000,-261.2500,35.4507
120.330,14.0957,7.4844,0.0000,-261.9548,42.4735
120.380,13.8462,-4.9896,0.0000,-262.6471,31.7357
120.430,13.7214,-2.4948,0.0000,-263.3331,33.4321
120.480,13.7214,0.0000,0.0000,-264.0192,35.4507
120.530,13.6591,-1.2474,0.0000,-264.7022,34.2803
120.580,13.6591,0.0000,0.0000,-265.3851,35.2896
120.630,13.5967,-1.2474,0.0000,-266.0649,34.1191
120.680,13.4096,-3.7422,0.0000,-266.7354,31.6171
120.730,13.5343,2.4948,0.0000,-267.4121,36.9860
120.780,13.7838,4.9896,0.0000,-268.1013,39.6492
120.830,13.5343,-4.9896,0.0000,-268.7780,30.9300
120.880,13.5967,1.2474,0.0000,-269.4579,36.1378
120.930,13.6591,1.2474,0.0000,-270.1408,36.2989
120.980,13.5967,-1.2474,0.0000,-270.8207,34.1191
121.030,13.7838,3.7422,0.0000,-271.5099,38.6398
121.080,13.9709,3.7422,0.0000,-272.2084,39.1233
121.130,13.7838,-3.7422,0.0000,-272.8976,32.5839
121.180,13.9709,3.7422,0.0000,-273.5961,39.1233
121.230,13.9709,0.0000,0.0000,-274.2947,36.0953
121.280,13.7214,-4.9896,0.0000,-274.9808,31.4134
121.330,13.7838,1.2474,0.0000,-275.6699,36.6212
121.380,14.0333,4.9896,0.0000,-276.3716,40.2937
121.430,13.4720,-11.2266,0.0000,-277.0452,25.7222
121.480,13.5343,1.2474,0.0000,-277.7219,35.9766
121.530,13.7838,4.9896,0.0000,-278.4111,39.6492
121.580,13.7214,-1.2474,0.0000,-279.0972,34.4414
121.630,13.9086,3.7422,0.0000,-279.7926,38.9621
121.680,13.7838,-2.4948,0.0000,-280.4818,33.5932
121.730,13.8462,1.2474,0.0000,-281.1741,36.7823
121.780,13.9086,1.2474,0.0000,-281.8695,36.9435
121.830,13.9086,0.0000,0.0000,-282.5650,35.9341
121.880,13.5967,-6.2370,0.0000,-283.2448,30.0818
121.930,13.7214,2.4948,0.0000,-283.9309,37.4694
121.980,13.7838,1.2474,0.0000,-284.6201,36.6212
122.030,13.9086,2.4948,0.0000,-285.3155,37.9528
122.080,13.7214,-3.7422,0.0000,-286.0016,32.4228
122.130,13.9086,3.7422,0.0000,-286.6970,38.9621
122.180,14.0333,2.4948,0.0000,-287.3987,38.2751
122.230,13.9086,-2.4948,0.0000,-288.0941,33.9155
122.280,14.0333,2.4948,0.0000,-288.7958,38.2751
122.330,13.8462,-3.7422,0.0000,-289.4881,32.7450
122.380,13.8462,0.0000,0.0000,-290.1804,35.7730
122.430,14.0957,4.9896,0.0000,-290.8852,40.4548
122.480,14.0957,0.0000,0.0000,-291.5900,36.4176
122.530,14.2204,2.4948,0.0000,-292.3010,38.7585
122.580,13.9709,-4.9896,0.0000,-292.9995,32.0580
122.630,14.0333,1.2474,0.0000,-293.7012,37.2658
122.680,13.7838,-4.9896,0.0000,-294.3904,31.5746
122.730,13.9709,3.7422,0.0000,-295.0889,39.1233
122.780,14.0957,2.4948,0.0000,-295.7937,38.4362
122.830,13.9709,-2.4948,0.0000,-296.4922,34.0766
122.880,13.9086,-1.2474,0.0000,-297.1877,34.9248
122.930,13.8462,-1.2474,0.0000,-297.8800,34.7637
122.980,14.2204,7.4844,0.0000,-298.5910,42.7958
123.030,14.0333,-3.7422,0.0000,-299.2927,33.2285
123.080,14.4699,8.7318,0.0000,-300.0162,44.4497
123.130,14.2828,-3.7422,0.0000,-300.7303,33.8730
123.180,14.4699,3.7422,0.0000,-301.4538,40.4124
123.230,14.6570,3.7422,0.0000,-302.1867,40.8958
123.280,14.8441,3.7422,0.0000,-302.9289,41.3792
123.330,14.4075,-8.7318,0.0000,-303.6492,30.1580
123.380,14.7194,6.2370,0.0000,-304.3852,43.0756
123.430,14.1580,-11.2266,0.0000,-305.0931,27.4948
123.480,14.4699,6.2370,0.0000,-305.8166,42.4310
123.530,14.4699,0.0000,0.0000,-306.5401,37.3844
123.580,15.0312,11.2266,0.0000,-307.2917,47.9186
123.630,14.9065,-2.4948,0.0000,-308.0370,36.4937
123.680,14.8441,-1.2474,0.0000,-308.7792,37.3419
123.730,14.6570,-3.7422,0.0000,-309.5120,34.8398
123.780,14.9688,6.2370,0.0000,-310.2605,43.7201
123.830,15.0312,1.2474,0.0000,-311.0120,39.8439
123.880,14.9065,-2.4948,0.0000,-311.7574,36.4937
123.930,14.6570,-4.9896,0.0000,-312.4902,33.8305
123.980,15.2807,12.4740,0.0000,-313.2542,49.5725
124.030,15.0936,-3.7422,0.0000,-314.0089,35.9678
124.080,15.5302,8.7318,0.0000,-314.7854,47.1891
124.130,15.0936,-8.7318,0.0000,-315.5401,31.9305
124.180,15.0936,0.0000,0.0000,-316.2948,38.9958
124.230,14.9065,-3.7422,0.0000,-317.0401,35.4844
124.280,15.1560,4.9896,0.0000,-317.7979,43.1942
124.330,15.0936,-1.2474,0.0000,-318.5526,37.9865
124.380,15.5302,8.7318,0.0000,-319.3291,47.1891
124.430,15.2183,-6.2370,0.0000,-320.0900,34.2714
124.480,15.7173,9.9792,0.0000,-320.8759,48.6818
124.530,15.4054,-6.2370,0.0000,-321.6462,34.7549
124.580,15.2807,-2.4948,0.0000,-322.4102,37.4606
124.630,15.4678,3.7422,0.0000,-323.1836,42.9906
124.680,15.6549,3.7422,0.0000,-323.9663,43.4740
124.730,15.7797,2.4948,0.0000,-324.7553,42.7870
124.780,16.0915,6.2370,0.0000,-325.5599,46.6207
124.830,15.7173,-7.4844,0.0000,-326.3458,34.5512
124.880,15.0936,-12.4740,0.0000,-327.1004,28.9025
124.930,15.9668,17.4636,0.0000,-327.8988,55.3823
124.980,15.4678,-9.9792,0.0000,-328.6722,31.8880
125.030,15.5302,1.2474,0.0000,-329.4487,41.1331
125.080,15.9044,7.4844,0.0000,-330.2439,47.1465
125.130,16.0915,3.7422,0.0000,-331.0485,44.6020
125.180,15.8420,-4.9896,0.0000,-331.8406,36.8922
125.230,16.2162,7.4844,0.0000,-332.6514,47.9523
125.280,16.3410,2.4948,0.0000,-333.4684,44.2372
125.330,16.2786,-1.2474,0.0000,-334.2824,41.0481
125.380,15.9668,-6.2370,0.0000,-335.0807,36.2051
125.430,15.9668,0.0000,0.0000,-335.8790,41.2517
125.480,15.5925,-7.4844,0.0000,-336.6587,34.2290
125.530,16.2786,13.7214,0.0000,-337.4726,53.1600
125.580,15.9668,-6.2370,0.0000,-338.2709,36.2051
125.630,16.4034,8.7318,0.0000,-339.0911,49.4450
125.680,15.9668,-8.7318,0.0000,-339.8894,34.1865
125.730,16.0291,1.2474,0.0000,-340.6909,42.4222
125.780,16.0291,0.0000,0.0000,-341.4924,41.4129
125.830,16.1539,2.4948,0.0000,-342.3000,43.7538
125.880,16.7152,11.2266,0.0000,-343.1358,52.2693
