tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K,x_ddot,posicao_cm_norm,velocidade_cms_norm,x_ref_cm_norm,e_int_norm,u_K_norm
68.627,10.9772,-1.2474,5.0,-50.1587,27.3513,-0.2609794050343636,0.05926256023233358,-0.2662181943076343,-1.465053945420711,-1.149647507026857,-0.03956873006581527
68.677,11.0395,1.2474,5.0,-50.4607,29.5311,-5.443867276887701,0.07513744885093208,0.25368532022464424,-1.465053945420711,-1.1557123249615449,0.15969490569600092
68.727,11.0395,0.0,5.0,-50.7627,28.5217,0.10602288329512148,0.07513744885093208,-0.006266437041495043,-1.465053945420711,-1.1617771428962327,0.06742189260398462
68.777,11.1019,1.2474,5.0,-51.0678,29.6922,-1.7534553775743944,0.09103781883167915,0.25368532022464424,-1.465053945420711,-1.1679042155845547,0.17442165664619308
68.827,10.8524,-4.9896,5.0,-51.3604,24.001,2.4426041189932097,0.02746182027083944,-1.0460734661060522,-1.465053945420711,-1.1737802610404808,-0.3458321298698396
68.877,11.1019,4.9896,5.0,-51.6655,32.7202,3.5843890160182923,0.09103781883167915,1.033540592023062,-1.465053945420711,-1.1799073337288029,0.4512224131774249
68.927,10.9148,-3.7422,5.0,-51.9612,25.1715,-4.383638443935856,0.04336219025158651,-0.7861217088399128,-1.465053945420711,-1.1858456339383632,-0.23883236582763115
68.977,10.9148,0.0,5.0,-52.257,28.1995,1.3293638443936198,0.04336219025158651,-0.006266437041495043,-1.465053945420711,-1.1917859423657826,0.03796839070360068
69.027,11.2266,6.237,5.0,-52.5683,34.0518,-2.887084668192291,0.12281307743102426,1.2934923492892014,-1.465053945420711,-1.1980375245613732,0.5729489281698255
69.077,11.0395,-3.7422,5.0,-52.8703,25.4938,-0.0937894736843043,0.07513744885093208,-0.7861217088399128,-1.465053945420711,-1.204102342496061,-0.20936972255483868
69.127,10.7901,-4.9896,5.0,-53.1598,23.8399,2.5119267734553206,0.011586931652241395,-1.0460734661060522,-1.465053945420711,-1.2099161331983528,-0.36055888082003174
69.177,10.9148,2.4948,5.0,-53.4555,30.2181,-0.8033272311212966,0.04336219025158651,0.5136370774907836,-1.465053945420711,-1.215854433407913,0.22249613414281622
69.227,11.0395,2.4948,5.0,-53.7575,30.5404,0.34661327231119754,0.07513744885093208,0.5136370774907836,-1.465053945420711,-1.221919251342601,0.251958777415609
69.277,10.7901,-4.9896,5.0,-54.047,23.8399,-1.516942791761932,0.011586931652241395,-1.0460734661060522,-1.465053945420711,-1.2277330420448929,-0.36055888082003174
69.327,10.9772,3.7422,5.0,-54.3458,31.3886,-6.206416475972478,0.05926256023233358,0.7735888347569227,-1.465053945420711,-1.2337335970080872,0.32949589818502467
69.377,10.7901,-3.7422,5.0,-54.6354,24.8492,-3.6863340961097584,0.011586931652241395,-0.7861217088399128,-1.465053945420711,-1.2395493959282382,-0.268295009100424
69.427,10.8524,1.2474,5.0,-54.928,29.0477,-1.3946086956521242,0.02746182027083944,0.25368532022464424,-1.465053945420711,-1.2454254413841643,0.11550551147301631
69.477,10.9148,1.2474,5.0,-55.2237,29.2088,-1.8187002288331122,0.04336219025158651,0.25368532022464424,-1.465053945420711,-1.2513637415937247,0.13023226242320846
69.527,10.8524,-1.2474,5.0,-55.5163,27.029,0.5994370709383678,0.02746182027083944,-0.2662181943076343,-1.465053945420711,-1.2572397870496508,-0.06903137333860776
69.577,10.8524,0.0,5.0,-55.809,28.0383,-1.4190755148739653,0.02746182027083944,-0.006266437041495043,-1.465053945420711,-1.2631178407234358,0.02323249838100001
69.627,10.6653,-3.7422,5.0,-56.0922,24.5269,-6.353217391304439,-0.020213808309252748,-0.7861217088399128,-1.465053945420711,-1.2688051137006002,-0.29775765237321644
69.677,10.6029,-1.2474,5.0,-56.3724,26.3845,-4.705784897025161,-0.03611417828999982,-0.2662181943076343,-1.465053945420711,-1.2744321401419894,-0.1279475185117845
69.727,10.4782,-2.4948,5.0,-56.6463,25.0528,2.7688283752860676,-0.06788943688934539,-0.5261699515737737,-1.465053945420711,-1.279932648858251,-0.2496831748765933
69.777,10.3535,-2.4948,5.0,-56.9139,24.7306,-2.5771716247139875,-0.0996646954886905,-0.5261699515737737,-1.465053945420711,-1.2853066398493849,-0.27913667677697757
69.827,10.3535,0.0,5.0,-57.1816,26.7492,-3.1888421052631255,-0.0996646954886905,-0.006266437041495043,-1.465053945420711,-1.2906826390583783,-0.09460893333776203
69.877,10.2911,-1.2474,5.0,-57.4462,25.5788,-2.124535469107496,-0.11556506546943758,-0.2662181943076343,-1.465053945420711,-1.295996383513737,-0.2015995560075616
